waveform	Ch0		Gen	
t0	11/14/2016  20:10:35.691653		11/14/2016  20:10:35.691665	
delta t	0.000500		0.000500	

time[0]	Ch0	time[1]	Gen
11/14/2016  20:10:35.759153	2.631014E+0	11/14/2016  20:10:35.759165	9.494608E-4
11/14/2016  20:10:35.759653	2.631666E+0	11/14/2016  20:10:35.759665	9.494608E-4
11/14/2016  20:10:35.760153	2.631340E+0	11/14/2016  20:10:35.760165	1.927059E-3
11/14/2016  20:10:35.760653	2.630036E+0	11/14/2016  20:10:35.760665	1.275327E-3
11/14/2016  20:10:35.761153	2.630688E+0	11/14/2016  20:10:35.761165	6.235948E-4
11/14/2016  20:10:35.761653	2.630688E+0	11/14/2016  20:10:35.761665	9.494608E-4
11/14/2016  20:10:35.762153	2.631992E+0	11/14/2016  20:10:35.762165	9.494608E-4
11/14/2016  20:10:35.762653	2.631340E+0	11/14/2016  20:10:35.762665	1.275327E-3
11/14/2016  20:10:35.763153	2.631666E+0	11/14/2016  20:10:35.763165	1.275327E-3
11/14/2016  20:10:35.763653	2.630362E+0	11/14/2016  20:10:35.763665	1.275327E-3
11/14/2016  20:10:35.764153	2.631014E+0	11/14/2016  20:10:35.764165	9.494608E-4
11/14/2016  20:10:35.764653	2.631340E+0	11/14/2016  20:10:35.764665	1.601193E-3
11/14/2016  20:10:35.765153	2.631340E+0	11/14/2016  20:10:35.765165	1.275327E-3
11/14/2016  20:10:35.765653	2.630688E+0	11/14/2016  20:10:35.765665	6.235948E-4
11/14/2016  20:10:35.766153	2.631340E+0	11/14/2016  20:10:35.766165	6.235948E-4
11/14/2016  20:10:35.766653	2.631014E+0	11/14/2016  20:10:35.766665	2.977288E-4
11/14/2016  20:10:35.767153	2.631340E+0	11/14/2016  20:10:35.767165	2.977288E-4
11/14/2016  20:10:35.767653	2.631340E+0	11/14/2016  20:10:35.767665	1.275327E-3
11/14/2016  20:10:35.768153	2.631666E+0	11/14/2016  20:10:35.768165	6.235948E-4
11/14/2016  20:10:35.768653	2.631340E+0	11/14/2016  20:10:35.768665	2.977288E-4
11/14/2016  20:10:35.769153	2.631014E+0	11/14/2016  20:10:35.769165	9.494608E-4
11/14/2016  20:10:35.769653	2.631340E+0	11/14/2016  20:10:35.769665	2.977288E-4
11/14/2016  20:10:35.770153	2.631340E+0	11/14/2016  20:10:35.770165	6.235948E-4
11/14/2016  20:10:35.770653	2.631992E+0	11/14/2016  20:10:35.770665	9.494608E-4
11/14/2016  20:10:35.771153	2.631340E+0	11/14/2016  20:10:35.771165	9.494608E-4
11/14/2016  20:10:35.771653	2.630688E+0	11/14/2016  20:10:35.771665	-2.813726E-5
11/14/2016  20:10:35.772153	2.631014E+0	11/14/2016  20:10:35.772165	9.494608E-4
11/14/2016  20:10:35.772653	2.632643E+0	11/14/2016  20:10:35.772665	9.494608E-4
11/14/2016  20:10:35.773153	2.631014E+0	11/14/2016  20:10:35.773165	9.494608E-4
11/14/2016  20:10:35.773653	2.631340E+0	11/14/2016  20:10:35.773665	1.927059E-3
11/14/2016  20:10:35.774153	2.631014E+0	11/14/2016  20:10:35.774165	2.977288E-4
11/14/2016  20:10:35.774653	2.631992E+0	11/14/2016  20:10:35.774665	1.601193E-3
11/14/2016  20:10:35.775153	2.631340E+0	11/14/2016  20:10:35.775165	6.235948E-4
11/14/2016  20:10:35.775653	2.631340E+0	11/14/2016  20:10:35.775665	1.275327E-3
11/14/2016  20:10:35.776153	2.631340E+0	11/14/2016  20:10:35.776165	1.275327E-3
11/14/2016  20:10:35.776653	2.631666E+0	11/14/2016  20:10:35.776665	9.494608E-4
11/14/2016  20:10:35.777153	2.631992E+0	11/14/2016  20:10:35.777165	1.275327E-3
11/14/2016  20:10:35.777653	2.631666E+0	11/14/2016  20:10:35.777665	-3.540033E-4
11/14/2016  20:10:35.778153	2.631992E+0	11/14/2016  20:10:35.778165	6.235948E-4
11/14/2016  20:10:35.778653	2.631666E+0	11/14/2016  20:10:35.778665	9.494608E-4
11/14/2016  20:10:35.779153	2.631340E+0	11/14/2016  20:10:35.779165	1.275327E-3
11/14/2016  20:10:35.779653	2.631666E+0	11/14/2016  20:10:35.779665	2.977288E-4
11/14/2016  20:10:35.780153	2.631992E+0	11/14/2016  20:10:35.780165	9.494608E-4
